Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_0805_2012Metric",163.412500,-108.825000,0.000000,top
"C2","22u","C_0805_2012Metric",168.412500,-112.325000,90.000000,top
"C3","10p","C_0402_1005Metric",140.912500,-101.345000,-90.000000,top
"C4","1u","C_0402_1005Metric",148.432500,-108.325000,0.000000,top
"C5","10u","C_0603_1608Metric",143.412500,-95.325000,-90.000000,top
"C6","100n","C_0402_1005Metric",143.052800,-98.501200,90.000000,top
"C7","10p","C_0402_1005Metric",140.912500,-103.325000,90.000000,top
"C8","100n","C_0402_1005Metric",146.710400,-95.859600,0.000000,top
"C9","100n","C_0402_1005Metric",155.397200,-99.618800,-90.000000,top
"C10","100n","C_0402_1005Metric",151.892000,-108.204000,180.000000,top
"C11","10n","C_0402_1005Metric",143.306800,-103.124000,90.000000,top
"C12","1u","C_0402_1005Metric",142.392500,-105.825000,180.000000,top
"C13","1u","C_0402_1005Metric",142.392500,-107.325000,180.000000,top
"D1","RED","LED_0603_1608Metric",164.287200,-120.802400,90.000000,top
"FB1","FerriteBead","L_0603_1608Metric",144.412500,-107.325000,-90.000000,top
"J1","SPI1","PinHeader_1x06_P2.54mm_Vertical",163.262500,-82.825000,-90.000000,top
"J2","SPI2","PinHeader_1x06_P2.54mm_Vertical",151.292500,-124.500000,90.000000,top
"J3","TIMERS","PinHeader_1x03_P2.54mm_Vertical",158.010000,-108.450000,180.000000,top
"J4","USART1","PinHeader_1x04_P2.54mm_Vertical",138.372500,-82.825000,90.000000,top
"J5","I2C2","PinHeader_1x04_P2.54mm_Vertical",139.112500,-119.325000,90.000000,top
"J6","I2C1","PinHeader_1x04_P2.54mm_Vertical",136.601200,-87.589200,0.000000,top
"J7","USART2","PinHeader_1x04_P2.54mm_Vertical",139.112500,-124.500000,90.000000,top
"J8","SWD","PinHeader_1x04_P2.54mm_Vertical",161.712500,-91.825000,-90.000000,top
"J9","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",167.132000,-100.685600,90.000000,top
"R1","1k5","R_0402_1005Metric",161.899600,-121.666000,180.000000,top
"R2","10k","R_0402_1005Metric",146.412500,-108.325000,0.000000,top
"R3","1k5","R_0402_1005Metric",143.912500,-116.825000,0.000000,top
"R4","1k5","R_0402_1005Metric",133.959600,-92.500000,-90.000000,top
"R5","1k5","R_0402_1005Metric",141.912500,-116.825000,180.000000,top
"R6","1k5","R_0402_1005Metric",133.959600,-90.510000,90.000000,top
"R7","10k","R_0402_1005Metric",148.590000,-94.234000,0.000000,top
"R8","1k5","R_0402_1005Metric",157.937200,-100.279200,90.000000,top
"SW1","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",148.625000,-112.810000,180.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",146.253200,-89.306400,180.000000,top
"U1","AMS1117","SOT-223-3_TabPin2",163.412500,-114.325000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",149.250000,-102.162500,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",138.412500,-102.325000,-90.000000,top
